iter	RMSE
294	109465.9277
295	109396.0649
296	109329.663
297	109259.2434
298	109178.7017
299	109071.4334
300	108986.8025
301	108884.0067
302	108777.2721
303	108697.4772
304	108624.2516
305	108581.0309
306	108518.6743
307	108400.8723
308	108327.7782
309	108227.2973
310	108150.2576
311	108039.1367
312	107988.1001
313	107925.0675
314	107870.0649
315	107810.1666
316	107709.6767
317	107640.6071
318	107584.3473
319	107523.4499
320	107454.9032
321	107354.3727
322	107297.1668
323	107221.9338
324	107133.3192
325	107066.366
326	107031.9095
327	106972.732
328	106880.2282
329	106816.0669
330	106705.6757
331	106656.0721
332	106592.3301
333	106547.1001
334	106480.7719
335	106411.7249
336	106339.7527
337	106278.5963
338	106233.1008
339	106165.572
340	106108.3619
341	106067.5791
342	105991.3733
343	105920.6844
344	105856.2009
345	105788.5426
346	105723.1062
347	105681.6979
348	105625.1
349	105562.9593
350	105477.3598
351	105427.9187
352	105343.3214
353	105302.7871
354	105252.4058
355	105197.9205
356	105143.1334
357	105104.3285
358	105020.6887
359	104968.7239
360	104940.4385
361	104881.9912
362	104834.4076
363	104792.798
364	104748.0074
365	104697.6913
366	104667.3436
367	104592.8442
368	104553.8128
369	104508.406
370	104445.8739
371	104385.7968
372	104354.0858
373	104333.4626
374	104300.6501
375	104228.2785
376	104178.2944
377	104112.3817
378	104036.0977
379	103974.2863
380	103922.6448
381	103867.2549
382	103838.413
383	103798.3237
384	103745.2059
385	103651.2471
386	103576.7409
387	103476.9213
388	103405.4724
389	103384.6947
390	103329.5254
391	103272.7852
392	103228.1042
393	103156.6059
394	103088.2557
395	103019.909
396	102944.6671
397	102897.5593
398	102849.7737
399	102822.5768
400	102769.5685
401	102710.3049
402	102656.7597
403	102579.398
404	102519.2141
405	102496.0911
406	102434.2763
407	102387.0625
408	102345.5387
409	102287.2128
410	102223.3197
411	102157.4519
412	102129.2788
413	102060.0221
414	102032.9899
415	101979.0247
416	101930.3251
417	101884.1912
418	101838.8693
419	101790.2682
420	101725.336
421	101668.3615
422	101613.9187
423	101563.0035
424	101492.0209
425	101455.0423
426	101387.2705
427	101342.5297
428	101290.9431
429	101218.2684
430	101164.5801
431	101116.2231
432	101040.4626
433	101010.1842
434	100948.0599
435	100876.1378
436	100835.171
437	100776.9308
438	100745.81
439	100712.449
440	100650.2562
441	100600.4143
442	100569.3858
443	100533.9668
444	100477.2177
445	100393.489
446	100341.3054
447	100256.8737
448	100190.1832
449	100136.583
450	100099.8087
451	100041.5993
452	99984.98467
453	99954.21004
454	99912.48106
455	99862.70051
456	99813.33907
457	99772.3109
458	99716.34767
459	99649.86483
460	99606.66542
461	99560.74232
462	99519.35763
463	99442.63716
464	99395.4228
465	99339.48999
466	99298.5156
467	99241.85975
468	99204.41785
469	99128.77087
470	99060.10116
471	98984.55574
472	98944.87627
473	98924.86055
474	98896.57154
475	98846.38471
476	98807.72787
477	98771.63311
478	98734.9485
479	98668.34272
480	98643.57197
481	98603.47725
482	98566.02963
483	98533.1207
484	98495.54641
485	98437.46374
486	98399.80007
487	98355.26661
488	98312.77044
489	98262.78943
490	98215.07729
491	98190.67513
492	98143.46462
493	98089.17566
494	98036.90293
495	97997.52345
496	97946.47868
497	97914.82614
498	97870.80571
499	97792.43025
500	97750.28512
501	97705.5415
502	97653.57082
503	97612.02579
504	97580.54529
505	97551.40349
506	97506.92659
507	97485.72669
508	97419.36596
509	97380.71475
510	97344.60712
511	97324.47698
512	97262.72284
513	97214.27308
514	97162.47899
515	97115.50474
516	97055.46167
517	97010.22568
518	96950.30637
519	96921.44169
520	96880.91509
521	96814.9237
522	96768.65977
523	96719.8657
524	96675.63226
525	96630.84371
526	96604.47079
527	96558.50439
528	96514.82302
529	96456.59241
530	96419.12241
531	96389.95658
532	96373.57634
533	96339.36574
534	96282.53238
535	96242.71331
536	96214.17013
537	96180.43155
538	96141.57019
539	96119.96916
540	96080.86595
541	96038.83516
542	96005.0298
543	95959.40306
544	95938.91054
545	95893.60432
546	95873.72883
547	95824.49166
548	95772.23635
549	95733.14658
550	95678.17434
551	95635.6643
552	95596.39132
553	95554.74199
554	95504.40809
555	95486.54028
556	95460.70858
557	95419.53293
558	95380.7222
559	95326.03472
560	95296.00918
561	95269.91476
562	95234.80058
563	95195.09305
564	95177.84891
565	95133.82975
566	95096.99866
567	95053.21919
568	95003.46136
569	94955.25811
570	94937.30423
571	94897.44923
572	94848.05888
573	94790.11097
574	94755.54013
575	94705.92421
576	94669.85397
577	94630.70591
578	94586.02543
579	94563.57558
580	94527.49718
581	94479.02619
582	94457.12428
583	94419.58016
584	94384.08903
585	94368.52763
586	94354.35114
587	94324.45702
588	94292.9118
589	94230.47936
590	94150.47439
591	94138.87173
592	94087.98549
593	94048.30003
594	93993.1939
595	93957.81515
596	93905.46549
597	93858.40913
598	93814.12675
599	93765.6465
600	93735.2971
601	93686.59816
602	93647.77788
603	93585.5105
604	93551.34681
605	93522.52804
606	93507.30058
607	93495.63621
608	93476.42938
609	93438.00719
610	93396.62201
611	93324.65054
612	93298.76587
613	93233.98702
614	93188.65524
615	93159.72461
616	93122.00596
617	93074.66891
618	93040.91456
619	93001.52633
620	92958.16028
621	92943.95385
622	92905.28225
623	92892.84906
624	92852.49464
625	92816.79335
626	92796.12154
627	92743.515
628	92709.06276
629	92696.79056
630	92687.06973
631	92657.90288
632	92631.10735
633	92592.54237
634	92566.28646
635	92540.51446
636	92501.92157
637	92473.57002
638	92426.55013
639	92387.88101
640	92368.18287
641	92331.4515
642	92287.83518
643	92251.8261
644	92229.15223
645	92195.97957
646	92173.25597
647	92131.14277
648	92078.19742
649	92033.87435
650	91989.66615
651	91945.48219
652	91924.3594
653	91881.12887
654	91851.06612
655	91799.13373
656	91763.19804
657	91737.56913
658	91692.29737
659	91671.0873
660	91639.6987
661	91611.6302
662	91571.14093
663	91547.98187
664	91511.8967
665	91482.79666
666	91471.8273
667	91443.14203
668	91415.08093
669	91390.76784
670	91330.91647
671	91306.67877
672	91280.47305
673	91244.25708
674	91213.79294
675	91188.58626
676	91138.17222
677	91098.74857
678	91070.06048
679	91056.73024
680	91021.18373
681	90975.53214
682	90920.11533
683	90880.5417
684	90847.84614
685	90816.44507
686	90788.807
687	90749.71276
688	90714.61779
689	90696.15134
690	90667.09724
691	90648.20921
692	90613.02181
693	90570.53343
694	90542.07873
695	90498.72297
696	90477.14536
697	90455.04182
698	90438.63181
699	90390.11601
700	90359.71833
701	90316.46929
702	90287.41816
703	90253.43312
704	90203.15484
705	90164.34327
706	90123.84023
707	90088.77306
708	90055.87739
709	90032.54077
710	89992.02353
711	89984.01947
712	89953.1756
713	89927.20903
714	89893.66773
715	89865.637
716	89856.87687
717	89847.98604
718	89833.1584
719	89798.79613
720	89774.16575
721	89747.35497
722	89709.52167
723	89693.71262
724	89672.94906
725	89649.01793
726	89601.47235
727	89568.71979
728	89484.32887
729	89460.17484
730	89435.24919
731	89411.36049
732	89376.73092
733	89330.23822
734	89314.40537
735	89290.1163
736	89269.64879
737	89243.14663
738	89207.99941
739	89193.10974
740	89163.25088
741	89142.64801
742	89106.21624
743	89072.81632
744	89043.01922
745	89010.5026
746	88974.85856
747	88950.44595
748	88932.38535
749	88910.025
750	88899.5762
751	88853.90354
752	88819.16714
753	88797.90123
754	88735.14773
755	88707.90432
756	88676.10978
757	88655.48677
758	88632.22238
759	88603.86017
760	88578.82957
761	88548.34237
762	88493.38102
763	88470.22469
764	88438.4083
765	88372.35203
766	88347.04002
767	88300.92912
768	88283.3986
769	88255.50708
770	88245.99262
771	88223.07464
772	88182.73077
773	88149.40167
774	88118.31485
775	88097.48034
776	88070.2339
777	88045.35462
778	88013.05367
779	87991.2168
780	87968.20053
781	87916.20485
782	87895.52819
783	87873.84437
784	87839.49596
785	87800.24097
786	87780.0287
787	87739.26879
788	87715.65635
789	87674.67443
790	87644.23224
791	87620.41835
792	87600.43058
793	87566.23824
794	87527.5548
795	87503.64767
796	87464.4997
797	87448.74681
798	87421.32939
799	87396.17547
800	87377.65325
801	87347.52823
802	87316.3324
803	87283.43352
804	87271.05416
805	87240.90419
806	87209.30334
807	87172.68914
808	87154.5263
809	87113.02739
810	87096.95246
811	87083.64583
812	87052.95675
813	87027.78922
814	86996.978
815	86959.65064
816	86938.4925
817	86903.35522
818	86876.66976
819	86871.34199
820	86852.15603
821	86827.10173
822	86785.47499
823	86765.94946
824	86746.20173
825	86728.05295
826	86695.36943
827	86688.2207
828	86673.10539
829	86640.10207
830	86623.14596
831	86612.14604
832	86588.37225
833	86564.69932
834	86541.70847
835	86509.13599
836	86491.39966
837	86445.40448
838	86422.89557
839	86395.46196
840	86378.43069
841	86354.29481
842	86333.82198
843	86312.98118
844	86299.81974
845	86267.46449
846	86218.25692
847	86199.78814
848	86179.54336
849	86163.41798
850	86117.54925
851	86081.62418
852	86056.30909
853	86031.97817
854	85996.30936
855	85948.84599
856	85915.46123
857	85873.38677
858	85852.73831
859	85822.39123
860	85809.52852
861	85783.77843
862	85746.96545
863	85730.91563
864	85716.73986
865	85699.20186
866	85681.33219
867	85648.43577
868	85606.99402
869	85580.03064
870	85559.37322
871	85533.68306
872	85503.27209
873	85482.78836
874	85441.43705
875	85414.53337
876	85391.32554
877	85377.23271
878	85349.53073
879	85333.18543
880	85301.03989
881	85285.1653
882	85268.67712
883	85244.10085
884	85229.22521
885	85199.24993
886	85165.8931
887	85142.77843
888	85124.37993
889	85108.73304
890	85096.85998
891	85077.10243
892	85061.00843
893	85053.27569
894	85026.79861
895	85002.21548
896	84966.2323
897	84926.07287
898	84915.13729
899	84857.19692
900	84829.26507
901	84792.69116
902	84766.97246
903	84731.58576
904	84715.61039
905	84700.95696
906	84678.7771
907	84660.54112
908	84638.48649
909	84620.31948
910	84589.96345
911	84574.14591
912	84543.91328
913	84526.21172
914	84509.89733
915	84498.45572
916	84483.20631
917	84474.04053
918	84444.2695
919	84431.8143
920	84415.61613
921	84392.24186
922	84382.40766
923	84355.29531
924	84344.17003
925	84333.75952
926	84323.06768
927	84303.51927
928	84278.5768
929	84265.76061
930	84225.29392
931	84214.49504
932	84191.61831
933	84178.61004
934	84157.31283
935	84131.40915
936	84112.78387
937	84094.16992
938	84077.90613
939	84040.11188
940	84021.3008
941	84000.90748
942	83977.40089
943	83941.30208
944	83923.85977
945	83903.56961
946	83873.47318
947	83840.93908
948	83827.09083
949	83794.6238
950	83778.09793
951	83764.36707
952	83735.72078
953	83713.69576
954	83698.03034
955	83676.14522
956	83637.21977
957	83626.61723
958	83590.1962
959	83572.69474
960	83547.34161
961	83533.34386
962	83511.0022
963	83499.99358
964	83468.86486
965	83435.30741
966	83421.36681
967	83410.27188
968	83389.94849
969	83379.20063
970	83354.36389
971	83341.42437
972	83311.72897
973	83291.62278
974	83272.31534
975	83236.87055
976	83207.61302
977	83195.05469
978	83185.34937
979	83166.88491
980	83153.24851
981	83144.5092
982	83118.97873
983	83094.28291
984	83070.49248
985	83049.25205
986	83025.44808
987	83002.86728
988	82987.21498
989	82966.57596
990	82951.77162
991	82926.21632
992	82904.61246
993	82895.77356
994	82878.40753
995	82857.51484
996	82831.94665
997	82814.32908
998	82796.22365
999	82778.53173
